epoch,loss,validation accuracy,best validation accuracy
165,2.4572,9.8823,16.335227
166,2.55,10.1461,16.335227
167,3.2968,9.8011,16.335227
168,2.799,10.3084,16.335227
169,2.6456,9.862,16.335227
170,2.4082,10.3084,16.335227
171,2.4059,9.8011,16.335227
172,2.4329,10.1664,16.335227
173,2.9231,9.8011,16.335227
174,2.7575,10.4302,16.335227
175,2.847,10.3896,16.335227
176,2.4914,10.3084,16.335227
177,2.3553,8.8068,16.335227
178,2.3557,11.9115,16.335227
179,2.6155,9.8011,16.335227
180,2.5491,11.3231,16.335227
181,2.8773,9.8011,16.335227
182,2.5496,10.3084,16.335227
183,2.4383,9.5576,16.335227
184,2.3691,15.9091,16.335227
185,2.5575,9.8011,16.335227
186,2.595,10.6737,16.335227
187,2.9526,9.8011,16.335227
188,2.5418,10.3084,16.335227
189,2.3463,10.0446,16.335227
190,2.3143,15.1989,16.335227
191,2.4489,9.8011,16.335227
192,2.4693,11.7289,16.335227
193,2.8258,9.8011,16.335227
194,2.5523,11.8304,16.335227
195,2.4322,9.7606,16.335227
196,2.3289,15.9091,16.335227
197,2.3965,9.7606,16.335227
198,2.4413,12.155,16.335227
199,2.7479,9.8011,16.335227
200,2.4526,11.1607,16.335227
201,2.3419,7.9545,16.335227
202,2.3243,15.8279,16.335227
203,2.4631,9.8011,16.335227
204,2.4196,15.8482,16.335227
205,2.5769,9.8011,16.335227
206,2.4265,16.0714,16.335227
207,2.4158,8.7459,16.335227
208,2.3286,16.3961,16.396104
209,2.3746,9.3141,16.396104
210,2.4548,13.1696,16.396104
211,2.6525,9.8011,16.396104
212,2.3774,9.9635,16.396104
213,2.2762,11.6477,16.396104
214,2.2713,16.5787,16.578734
215,2.3253,9.2735,16.578734
216,2.3252,16.2744,16.578734
217,2.4843,9.8011,16.578734
218,2.4021,16.599,16.599026
219,2.4441,8.8068,16.599026
220,2.3237,16.112,16.599026
221,2.3377,9.8214,16.599026
222,2.3533,16.1323,16.599026
223,2.5467,9.8011,16.599026
224,2.3935,16.2338,16.599026
225,2.369,9.8011,16.599026
226,2.3443,16.457,16.599026
227,2.4395,10.349,16.599026
228,2.3416,16.4773,16.599026
229,2.3435,10.3287,16.599026
230,2.3577,16.2135,16.599026
231,2.4955,10.349,16.599026
232,2.365,15.483,16.599026
233,2.3188,11.3231,16.599026
234,2.3622,16.2946,16.599026
235,2.5536,11.7898,16.599026
236,2.3872,13.1494,16.599026
237,2.2924,11.5869,16.599026
238,2.3119,16.5787,16.599026
239,2.4673,15.9294,16.599026
240,2.3441,16.1323,16.599026
241,2.3232,12.0536,16.599026
242,2.3677,16.4976,16.599026
243,2.6033,15.8482,16.599026
244,2.3793,15.138,16.599026
245,2.246,15.4424,16.599026
246,2.2984,17.4107,17.410714
247,2.5551,16.6193,17.410714
248,2.3916,15.0162,17.410714
249,2.3076,16.7614,17.410714
250,2.2673,17.2484,17.410714
251,2.4237,17.1063,17.410714
252,2.2982,18.2224,18.222403
253,2.3641,17.4107,18.222403
254,2.3566,17.1672,18.222403
255,2.4726,17.6948,18.222403
256,2.2937,15.767,18.222403
257,2.3668,16.944,18.222403
258,2.2065,18.7703,18.770292
259,2.3979,17.1266,18.770292
260,2.5617,15.8482,18.770292
261,3.2119,16.7411,18.770292
262,2.6528,14.5901,18.770292
263,2.3995,15.5438,18.770292
264,2.3998,16.6802,18.770292
265,2.7355,19.1356,19.135552
266,2.4908,14.0016,19.135552
267,2.3101,16.2541,19.135552
268,2.2437,17.0657,19.135552
269,2.8067,15.6859,19.135552
270,2.6221,17.1063,19.135552
271,2.3635,10.8969,19.135552
272,2.3244,10.5722,19.135552
273,2.3126,17.1672,19.135552
274,2.2654,19.5211,19.521104
275,2.2429,19.8052,19.805195
276,2.4901,16.6599,19.805195
277,2.53,18.5877,19.805195
278,2.4612,16.6396,19.805195
279,2.4041,17.8774,19.805195
280,2.6488,17.5122,19.805195
281,2.5504,15.97,19.805195
282,2.2824,16.599,19.805195
283,2.1255,18.1615,19.805195
284,2.3323,17.6136,19.805195
285,2.2362,16.1323,19.805195
286,2.4156,18.5471,19.805195
287,2.4179,18.7906,19.805195
288,2.6325,19.7443,19.805195
289,2.3277,17.3904,19.805195
290,2.2201,20.1502,20.150162
291,2.1974,18.0195,20.150162
292,2.3063,19.1964,20.150162
293,2.2393,18.2021,20.150162
294,2.1989,18.7094,20.150162
295,2.1971,19.9472,20.150162
296,2.3598,13.0682,20.150162
297,2.3791,17.2484,20.150162
298,2.2712,12.8653,20.150162
299,2.4596,15.6656,20.150162
300,2.473,16.0308,20.150162
