epoch,loss,validation accuracy,best validation accuracy
0,2.3020423077917718,10.227272727272727,10.227272727272727
1,2.301599883413934,10.227272727272727,10.227272727272727
2,2.3011647106765154,10.227272727272727,10.227272727272727
3,2.3007880712484385,10.227272727272727,10.227272727272727
4,2.3003034746492066,10.227272727272727,10.227272727272727
5,2.29982320674054,10.227272727272727,10.227272727272727
6,2.2992914775749305,10.247564935064934,10.247564935064934
7,2.298751481167682,12.033279220779221,12.033279220779221
8,2.29805613802625,13.14935064935065,13.14935064935065
9,2.2973601353632938,14.204545454545455,14.204545454545455
10,2.2964334766586108,14.61038961038961,14.61038961038961
11,2.2953526013857357,14.691558441558442,14.691558441558442
12,2.2940355523840172,14.894480519480519,14.894480519480519
13,2.2925099459561435,14.569805194805195,14.894480519480519
14,2.290347167423793,14.508928571428571,14.894480519480519
15,2.2879175334781796,14.671266233766234,14.894480519480519
16,2.2842373197728936,14.488636363636363,14.894480519480519
17,2.279924491783241,15.44237012987013,15.44237012987013
18,2.2741955627094614,15.706168831168831,15.706168831168831
19,2.2668518307921173,16.1525974025974,16.1525974025974
20,2.256972820727856,17.93831168831169,17.93831168831169
21,2.2463670984491126,19.642857142857142,19.642857142857142
22,2.2333247785444383,18.993506493506494,19.642857142857142
23,2.222294281055401,20.67775974025974,20.67775974025974
24,2.210164299258938,21.103896103896105,21.103896103896105
25,2.2238354404251295,19.155844155844157,21.103896103896105
