epoch,loss,validation accuracy,best validation accuracy
0,2.3021870154839057,10.267857142857142,10.267857142857142
1,2.3014833648483473,10.551948051948052,10.551948051948052
2,2.300815560600974,9.882305194805195,10.551948051948052
3,2.3000808598159197,9.882305194805195,10.551948051948052
4,2.299242654404083,11.12012987012987,11.12012987012987
5,2.298230220745136,13.676948051948052,13.676948051948052
6,2.296981885835722,15.056818181818182,15.056818181818182
7,2.2952983843815793,14.488636363636363,15.056818181818182
8,2.293176406389707,14.529220779220779,15.056818181818182
9,2.290487481402112,14.204545454545455,15.056818181818182
10,2.2867259081307942,14.082792207792208,15.056818181818182
