epoch,loss,validation accuracy,best validation accuracy
0,3.9262325897028574,5.838815789473684,5.838815789473684
1,3.748527370393276,5.838815789473684,5.838815789473684
2,3.6495131124791347,5.838815789473684,5.838815789473684
3,3.6401408710762073,9.23108552631579,9.23108552631579
4,3.615436480233544,6.198601973684211,9.23108552631579
5,3.593657267721076,6.198601973684211,9.23108552631579
6,3.5963738541069783,5.4995888157894735,9.23108552631579
7,3.615440593346169,5.489309210526316,9.23108552631579
8,3.622615307177368,11.572265625,11.572265625
9,3.609493256791642,6.9233141447368425,11.572265625
10,3.5885721558803008,6.815378289473684,11.572265625
11,3.5738218312985017,6.869346217105263,11.572265625
12,3.5650335401296616,7.483552631578948,11.572265625
13,3.5580027381840504,18.11780427631579,18.11780427631579
14,3.5503386859046784,25.39319490131579,25.39319490131579
15,3.5379937400943353,26.390316611842106,26.390316611842106
16,3.524960979819298,17.52158717105263,26.390316611842106
17,3.518341988325119,15.72265625,26.390316611842106
18,3.515850469470024,23.53001644736842,26.390316611842106
19,3.5008865069401893,21.111739309210527,26.390316611842106
20,3.481473575297155,17.08727384868421,26.390316611842106
21,3.4647673266498664,17.24917763157895,26.390316611842106
22,3.4503183302126432,24.95631167763158,26.390316611842106
23,3.441868242072432,34.60372121710526,34.60372121710526
24,3.441347021021341,35.6676603618421,35.6676603618421
25,3.4315252370740237,36.67506167763158,36.67506167763158
26,3.40346824299348,36.57740542763158,36.67506167763158
27,3.373935926117395,32.02354029605263,36.67506167763158
28,3.345705986022949,32.51953125,36.67506167763158
29,3.3152724198604884,35.31815378289474,36.67506167763158
30,3.285848575203042,39.684416118421055,39.684416118421055
31,3.256926464014932,40.792043585526315,40.792043585526315
32,3.2231505768079507,37.821237664473685,40.792043585526315
33,3.1869145031822357,35.18708881578947,40.792043585526315
34,3.148576279611964,38.13990542763158,40.792043585526315
35,3.110847268449633,39.35289884868421,40.792043585526315
36,3.0724314176722576,38.5022615131579,40.792043585526315
37,3.026405148600277,38.73869243421053,40.792043585526315
38,2.975804606158482,40.29348273026316,40.792043585526315
39,2.9280525171443035,42.801706414473685,42.801706414473685
40,2.878570268028661,42.14638157894737,42.801706414473685
41,2.836737599812056,40.56589226973684,42.801706414473685
42,2.7832044217931595,42.09498355263158,42.801706414473685
43,2.729386923344512,42.0667146381579,42.801706414473685
44,2.6844087799913003,42.6500822368421,42.801706414473685
