epoch,loss,validation accuracy,best validation accuracy
0,2.3023578191732432,9.577922077922079,9.577922077922079
1,2.3019501946189185,9.598214285714286,9.598214285714286
2,2.3015553703555813,9.598214285714286,9.598214285714286
3,2.301209000798015,9.598214285714286,9.598214285714286
4,2.30080264264887,9.618506493506494,9.618506493506494
5,2.3003943585730218,10.004058441558442,10.004058441558442
6,2.2999338360575887,10.227272727272727,10.227272727272727
7,2.299489015108579,10.9375,10.9375
8,2.2989609891718086,13.108766233766234,13.108766233766234
9,2.2984150384927724,14.285714285714286,14.285714285714286
10,2.2977692275852353,14.995941558441558,14.995941558441558
11,2.2970880718974325,15.584415584415584,15.584415584415584
12,2.29624367998792,16.396103896103895,16.396103896103895
13,2.2952366277769016,17.288961038961038,17.288961038961038
14,2.2940458415390608,17.877435064935064,17.877435064935064
15,2.2926185069146094,17.694805194805195,17.877435064935064
16,2.290743521281651,17.37012987012987,17.877435064935064
17,2.2885335451596744,17.93831168831169,17.93831168831169
18,2.2857829905175544,18.2224025974026,18.2224025974026
19,2.2823016705451074,18.039772727272727,18.2224025974026
20,2.2773757476311225,17.00487012987013,18.2224025974026
21,2.2710334821180864,17.47159090909091,18.2224025974026
22,2.262578784645378,16.883116883116884,18.2224025974026
23,2.2516354461769006,17.958603896103895,18.2224025974026
24,2.237395614772648,17.512175324675326,18.2224025974026
25,2.220915045057024,19.379058441558442,19.379058441558442
26,2.2034085106540036,19.642857142857142,19.642857142857142
27,2.1837519825278937,21.976461038961038,21.976461038961038
28,2.1626550810677663,20.941558441558442,21.976461038961038
29,2.199069069577502,18.425324675324674,21.976461038961038
